Content ID,Title,Type,Country,Original Language,Release Year,Rating,Genre,Runtime (min),Seasons,Episodes,Studio,Production Company,Acquisition Type,License Expiration,Audience Score,Critic Score,Viewing Hours,Completion Rate,Cost (USD),Region Availability,Keywords,Awards,Featured Collection,Date Added,Description
CNT-000013,Comedy Chronicles 13,TV Show,United States,English,2019,TV-14,Comedy,31,8,48,Sony,VisionWorks,Licensed,2025-12-23,55,47,390211,47,3607571,Europe,"friendship, crime, survival",BAFTA,New Releases,2024-12-17,A comedy tv show produced in United States.
CNT-000014,Comedy Legacy 14,Movie,Spain,Spanish,2026,TV-14,Comedy,115,,,Canal+,Global Media,Exclusive,2026-03-07,91,53,10119883,90,8504842,North America,"space, sports, crime",Festival Selection,Hidden Gems,2024-03-07,A comedy movie produced in Spain.
CNT-000015,Action Legacy 15,Movie,United Kingdom,English,2009,TV-G,Action,146,,,CJ ENM,Blue Sky,Original,2028-11-13,61,45,3317607,63,3369633,Europe,"sports, crime, history",Festival Selection,,2024-10-11,A action movie produced in United Kingdom.
CNT-000016,Sci-Fi Chronicles 16,TV Show,United States,English,1997,PG-13,Sci-Fi,46,2,24,A24,Red Oak,Licensed,2025-09-14,91,78,18948541,49,13190422,Europe,"survival, space, love",Emmy Winner,Trending Now,2024-06-24,A sci-fi tv show produced in United States.
CNT-000017,Action Chronicles 17,TV Show,United Kingdom,English,2025,G,Action,23,4,40,A24,North Star,Original,2025-03-23,65,91,2622445,67,5710117,APAC,"family, mystery, sports",None,Hidden Gems,2023-09-17,A action tv show produced in United Kingdom.
CNT-000018,Crime Legacy 18,Movie,United States,English,2011,TV-MA,Crime,110,,,TV Tokyo,Sunrise,Exclusive,2028-07-19,67,88,17560378,85,2589994,LATAM,"survival, mystery, love",None,Family Picks,2025-10-15,A crime movie produced in United States.
CNT-000019,Horror Chronicles 19,TV Show,United States,English,2015,TV-G,Horror,44,1,7,Toei,North Star,Licensed,2028-06-19,89,47,1955962,58,5908943,Europe,"space, love, friendship",Oscar Winner,Award Winners,2025-03-20,A horror tv show produced in United States.
CNT-000020,Drama Legacy 20,Movie,United States,English,2005,TV-G,Drama,106,,,Toei,Sunrise,Original,2025-08-28,56,91,592468,67,2047592,Global,"mystery, space, history",Festival Selection,Hidden Gems,2023-12-07,A drama movie produced in United States.
CNT-000021,Reality Chronicles 21,TV Show,Japan,Japanese,1993,TV-PG,Reality,54,5,50,Netflix Studios,Sunrise,Original,2027-03-24,75,69,1219891,51,3176572,North America,"sports, love, mystery",Festival Selection,Trending Now,2023-11-16,A reality tv show produced in Japan.
CNT-000022,Family Legacy 22,Movie,United States,English,1990,TV-14,Family,163,,,Netflix Studios,North Star,Licensed,2027-02-21,99,78,6517966,95,330199,LATAM,"mystery, space, love",BAFTA,,2025-08-09,A family movie produced in United States.
CNT-000023,Comedy Chronicles 23,TV Show,United States,English,1992,TV-MA,Comedy,60,1,9,Canal+,VisionWorks,Exclusive,2026-01-28,75,49,8240249,74,3520511,Global,"sports, crime, space",Emmy Winner,New Releases,2024-01-21,A comedy tv show produced in United States.
CNT-000024,Drama Chronicles 24,TV Show,United Kingdom,English,2019,TV-MA,Drama,24,6,54,Netflix Studios,Blue Sky,Licensed,2029-05-19,83,65,10858581,69,3053075,Global,"history, love, crime",Emmy Winner,New Releases,2025-08-09,A drama tv show produced in United Kingdom.
CNT-000025,Crime Chronicles 25,TV Show,Germany,German,1995,R,Crime,54,8,96,Warner,Global Media,Exclusive,2028-09-04,99,69,12136691,77,2701538,APAC,"love, mystery, survival",BAFTA,Trending Now,2025-02-25,A crime tv show produced in Germany.
CNT-000026,Thriller Chronicles 26,TV Show,United States,English,2000,TV-PG,Thriller,35,4,32,Disney,Global Media,Exclusive,2026-11-05,89,80,1882943,89,4317568,Europe,"mystery, sports, family",Emmy Winner,,2023-05-20,A thriller tv show produced in United States.
CNT-000027,Animation Chronicles 27,TV Show,Canada,English,1993,TV-MA,Animation,59,2,16,A24,Blue Sky,Exclusive,2028-03-05,75,94,9397922,98,904961,Europe,"family, friendship, history",Festival Selection,Award Winners,2024-05-30,A animation tv show produced in Canada.
CNT-000028,Comedy Chronicles 28,TV Show,United Kingdom,English,2009,G,Comedy,54,1,8,Warner,Sunrise,Licensed,2026-11-13,91,97,12255799,75,7593904,LATAM,"sports, space, crime",BAFTA,Trending Now,2025-04-05,A comedy tv show produced in United Kingdom.
CNT-000029,Comedy Legacy 29,Movie,Spain,Spanish,2014,PG,Comedy,135,,,A24,Blue Sky,Exclusive,2024-09-24,74,74,12048437,76,10501502,Europe,"love, history, sports",Oscar Winner,,2023-03-02,A comedy movie produced in Spain.
CNT-000030,Crime Legacy 30,Movie,South Korea,Korean,1991,PG-13,Crime,128,,,Canal+,Blue Sky,Licensed,2028-10-13,94,80,8956605,83,902680,APAC,"history, love, friendship",Oscar Winner,,2025-02-01,A crime movie produced in South Korea.
CNT-000031,Action Chronicles 31,TV Show,United States,English,2024,G,Action,44,7,49,Canal+,Sunrise,Exclusive,2028-03-16,99,79,9067036,83,1239007,Europe,"family, love, mystery",Oscar Winner,Trending Now,2025-12-15,A action tv show produced in United States.
CNT-000032,Romance Chronicles 32,TV Show,Japan,Japanese,2023,PG,Romance,26,7,63,Warner,Sunrise,Licensed,2030-02-21,80,57,4586588,48,9407660,Global,"space, love, family",Festival Selection,Hidden Gems,2026-07-02,A romance tv show produced in Japan.
CNT-000033,Romance Chronicles 33,TV Show,France,French,2020,R,Romance,22,1,7,Warner,VisionWorks,Original,2028-09-20,66,70,5767708,95,8308560,Europe,"space, sports, friendship",None,,2023-12-29,A romance tv show produced in France.
CNT-000034,Drama Legacy 34,Movie,United States,English,2006,TV-MA,Drama,137,,,Canal+,Red Oak,Exclusive,2027-09-14,71,89,7178923,88,14333905,North America,"survival, sports, friendship",Emmy Winner,Family Picks,2023-05-26,A drama movie produced in United States.
CNT-000035,Thriller Chronicles 35,TV Show,United Kingdom,English,2024,PG-13,Thriller,40,6,54,TV Tokyo,Red Oak,Exclusive,2028-12-24,65,88,10211425,70,8167875,LATAM,"crime, sports, family",BAFTA,,2024-06-26,A thriller tv show produced in United Kingdom.
CNT-000036,Comedy Chronicles 36,TV Show,Mexico,Spanish,2009,PG,Comedy,43,4,28,Canal+,Sunrise,Exclusive,2028-10-04,93,68,1478904,87,13960777,Europe,"sports, friendship, crime",Festival Selection,Trending Now,2025-12-03,A comedy tv show produced in Mexico.
CNT-000037,Romance Chronicles 37,TV Show,Japan,Japanese,2020,G,Romance,31,4,36,Canal+,Sunrise,Original,2026-04-05,80,69,8254079,64,14704160,Global,"friendship, family, survival",Emmy Winner,New Releases,2025-01-08,A romance tv show produced in Japan.
CNT-000038,Action Legacy 38,Movie,Japan,Japanese,2010,TV-PG,Action,85,,,CJ ENM,Sunrise,Exclusive,2028-04-02,93,91,978413,97,14193718,LATAM,"survival, crime, sports",Festival Selection,Family Picks,2023-08-11,A action movie produced in Japan.
CNT-000039,Drama Chronicles 39,TV Show,Canada,English,1998,R,Drama,31,7,49,Canal+,Global Media,Exclusive,2030-05-23,92,56,9520087,62,14377691,LATAM,"space, sports, crime",Emmy Winner,,2026-06-21,A drama tv show produced in Canada.
CNT-000040,Action Legacy 40,Movie,United States,English,2003,TV-G,Action,160,,,BBC,Red Oak,Original,2025-12-10,97,59,12178844,97,4464046,North America,"survival, family, mystery",None,,2023-08-15,A action movie produced in United States.
CNT-000041,Action Chronicles 41,TV Show,Canada,English,2022,G,Action,54,2,14,Toei,North Star,Licensed,2029-10-25,76,82,8673315,76,1942088,LATAM,"friendship, crime, space",Festival Selection,Award Winners,2026-02-14,A action tv show produced in Canada.
CNT-000042,Fantasy Chronicles 42,TV Show,Canada,English,2002,TV-MA,Fantasy,42,4,36,TV Tokyo,Global Media,Original,2030-06-25,87,66,14280763,81,9484968,Europe,"sports, family, history",None,Family Picks,2026-02-28,A fantasy tv show produced in Canada.
CNT-000043,Crime Chronicles 43,TV Show,United States,English,2015,PG,Crime,58,7,49,BBC,VisionWorks,Licensed,2027-12-28,58,96,2017331,63,5638937,APAC,"love, crime, survival",Emmy Winner,Hidden Gems,2024-11-04,A crime tv show produced in United States.
CNT-000044,Horror Legacy 44,Movie,Japan,Japanese,1999,R,Horror,141,,,CJ ENM,VisionWorks,Exclusive,2028-05-12,62,87,3265570,45,864645,APAC,"crime, history, friendship",None,Family Picks,2026-05-13,A horror movie produced in Japan.
CNT-000045,Thriller Legacy 45,Movie,United Kingdom,English,1994,TV-MA,Thriller,142,,,Netflix Studios,Sunrise,Original,2025-05-08,84,55,15113827,59,649057,North America,"sports, mystery, space",Oscar Winner,New Releases,2023-10-24,A thriller movie produced in United Kingdom.
CNT-000046,Comedy Legacy 46,Movie,India,Hindi,2005,TV-G,Comedy,105,,,TV Tokyo,Red Oak,Licensed,2027-07-03,66,82,18950140,86,8841404,North America,"history, mystery, love",Oscar Winner,Family Picks,2025-03-15,A comedy movie produced in India.
CNT-000047,Documentary Chronicles 47,TV Show,Mexico,Spanish,1999,R,Documentary,31,7,77,BBC,Global Media,Licensed,2026-11-10,89,56,1036612,62,12249594,APAC,"survival, space, friendship",BAFTA,,2025-03-14,A documentary tv show produced in Mexico.
CNT-000048,Comedy Legacy 48,Movie,Brazil,Portuguese,2016,TV-MA,Comedy,174,,,CJ ENM,North Star,Licensed,2027-12-07,59,86,14125662,57,11123213,North America,"family, history, love",Emmy Winner,New Releases,2025-11-08,A comedy movie produced in Brazil.
CNT-000049,Romance Chronicles 49,TV Show,United States,English,2014,TV-MA,Romance,46,3,36,Toei,Red Oak,Licensed,2025-10-20,73,47,15073131,58,3007240,Global,"space, friendship, mystery",Emmy Winner,Award Winners,2023-11-06,A romance tv show produced in United States.
CNT-000050,Crime Chronicles 50,TV Show,Nigeria,English,2018,TV-MA,Crime,23,6,36,Netflix Studios,Global Media,Original,2026-12-15,79,45,17308077,91,3480294,APAC,"survival, crime, love",None,Hidden Gems,2024-08-27,A crime tv show produced in Nigeria.
CNT-000051,Reality Legacy 51,Movie,United States,English,2004,G,Reality,93,,,Canal+,North Star,Original,2028-06-02,66,81,17028127,55,6624220,North America,"love, mystery, family",None,Hidden Gems,2024-02-08,A reality movie produced in United States.
CNT-000052,Action Chronicles 52,TV Show,United States,English,2023,PG-13,Action,47,2,20,Toei,North Star,Licensed,2029-01-24,75,91,9932273,57,6769308,Europe,"crime, family, sports",Emmy Winner,Hidden Gems,2024-06-30,A action tv show produced in United States.
CNT-000053,Documentary Chronicles 53,TV Show,Mexico,Spanish,2006,TV-MA,Documentary,24,4,28,Sony,North Star,Licensed,2026-10-15,63,60,16533325,72,10336642,LATAM,"mystery, survival, family",Festival Selection,Award Winners,2025-03-15,A documentary tv show produced in Mexico.
CNT-000054,Animation Chronicles 54,TV Show,South Africa,English,2000,PG-13,Animation,51,4,28,TV Tokyo,Sunrise,Licensed,2026-06-12,56,87,907481,93,7761281,Global,"survival, history, friendship",Oscar Winner,,2024-12-18,A animation tv show produced in South Africa.
CNT-000055,Crime Legacy 55,Movie,Canada,English,2005,R,Crime,157,,,A24,Sunrise,Licensed,2026-03-08,93,95,14280356,81,14673077,APAC,"crime, sports, survival",Oscar Winner,New Releases,2024-12-01,A crime movie produced in Canada.
CNT-000056,Animation Legacy 56,Movie,United States,English,2001,G,Animation,165,,,TV Tokyo,Sunrise,Exclusive,2027-07-22,77,50,10591650,91,344957,APAC,"crime, sports, survival",BAFTA,Award Winners,2024-01-19,A animation movie produced in United States.
CNT-000057,Family Legacy 57,Movie,Brazil,Portuguese,2011,PG-13,Family,145,,,BBC,VisionWorks,Exclusive,2028-02-21,89,85,1951355,47,11791335,LATAM,"space, sports, friendship",Emmy Winner,,2023-10-28,A family movie produced in Brazil.
CNT-000058,Drama Chronicles 58,TV Show,United States,English,2011,R,Drama,29,6,36,Sony,Sunrise,Original,2028-03-30,56,84,7110761,80,7913268,Global,"survival, friendship, mystery",BAFTA,,2025-06-22,A drama tv show produced in United States.
CNT-000059,Drama Legacy 59,Movie,Japan,Japanese,2024,R,Drama,142,,,TV Tokyo,Global Media,Licensed,2027-04-21,75,58,16132640,90,5999263,APAC,"space, love, friendship",Festival Selection,Family Picks,2023-06-03,A drama movie produced in Japan.
CNT-000060,Drama Legacy 60,Movie,United States,English,2015,G,Drama,86,,,Disney,North Star,Licensed,2027-09-08,78,75,12929758,70,13509388,APAC,"family, sports, space",Oscar Winner,Family Picks,2025-07-01,A drama movie produced in United States.
CNT-000061,Drama Legacy 61,Movie,Canada,English,1998,PG-13,Drama,95,,,CJ ENM,VisionWorks,Original,2025-01-29,55,82,4817236,82,9647866,North America,"history, survival, space",Oscar Winner,,2023-10-16,A drama movie produced in Canada.
CNT-000062,Comedy Legacy 62,Movie,Mexico,Spanish,2026,TV-MA,Comedy,80,,,Warner,Red Oak,Licensed,2028-11-13,84,57,18474334,70,7390985,North America,"sports, family, space",None,,2025-06-09,A comedy movie produced in Mexico.
CNT-000063,Reality Chronicles 63,TV Show,United States,English,1995,PG,Reality,46,6,36,Netflix Studios,Red Oak,Exclusive,2024-11-24,86,87,5218817,55,14713861,Europe,"family, love, survival",Festival Selection,Trending Now,2023-01-05,A reality tv show produced in United States.
CNT-000064,Thriller Chronicles 64,TV Show,United States,English,2025,PG-13,Thriller,54,8,88,Sony,VisionWorks,Exclusive,2027-07-29,72,74,6445494,77,9306127,Europe,"sports, crime, survival",Festival Selection,Family Picks,2024-08-06,A thriller tv show produced in United States.
CNT-000065,Documentary Legacy 65,Movie,Germany,German,2002,R,Documentary,89,,,CJ ENM,North Star,Original,2027-06-29,77,90,14587815,69,583194,North America,"friendship, crime, family",BAFTA,Trending Now,2024-07-12,A documentary movie produced in Germany.
CNT-000066,Drama Legacy 66,Movie,South Korea,Korean,2009,PG,Drama,179,,,TV Tokyo,Global Media,Original,2028-01-26,91,63,17971279,73,4849242,North America,"friendship, survival, crime",Festival Selection,Trending Now,2024-10-31,A drama movie produced in South Korea.
CNT-000067,Romance Legacy 67,Movie,United States,English,2007,TV-MA,Romance,145,,,Sony,Red Oak,Licensed,2027-05-16,89,70,16202116,62,12253899,APAC,"survival, history, family",BAFTA,Hidden Gems,2024-07-30,A romance movie produced in United States.
CNT-000068,Action Chronicles 68,TV Show,Germany,German,2013,G,Action,39,8,72,Canal+,Red Oak,Exclusive,2027-02-02,74,81,18099030,95,12527972,North America,"survival, love, mystery",Festival Selection,Hidden Gems,2024-02-27,A action tv show produced in Germany.
CNT-000069,Comedy Chronicles 69,TV Show,South Korea,Korean,1994,TV-14,Comedy,25,6,42,BBC,VisionWorks,Original,2027-05-22,56,65,18171799,79,6946714,Global,"family, history, sports",Emmy Winner,Trending Now,2023-07-06,A comedy tv show produced in South Korea.
CNT-000070,Crime Legacy 70,Movie,United States,English,1997,G,Crime,168,,,CJ ENM,VisionWorks,Exclusive,2027-06-23,84,90,7904331,55,10748663,LATAM,"survival, family, mystery",Emmy Winner,New Releases,2023-03-26,A crime movie produced in United States.
CNT-000071,Comedy Chronicles 71,TV Show,Mexico,Spanish,2022,G,Comedy,29,4,24,A24,VisionWorks,Exclusive,2027-10-02,81,89,5231666,77,10364757,LATAM,"history, survival, crime",None,Family Picks,2023-11-09,A comedy tv show produced in Mexico.
CNT-000072,Comedy Legacy 72,Movie,United Kingdom,English,2022,TV-PG,Comedy,107,,,TV Tokyo,VisionWorks,Licensed,2030-03-22,62,49,18488217,96,11616210,North America,"love, friendship, crime",Festival Selection,Hidden Gems,2025-07-05,A comedy movie produced in United Kingdom.
CNT-000073,Comedy Legacy 73,Movie,South Korea,Korean,2000,G,Comedy,131,,,Toei,Blue Sky,Original,2027-02-25,69,84,11764253,75,12519797,APAC,"love, space, friendship",BAFTA,Hidden Gems,2023-04-22,A comedy movie produced in South Korea.
CNT-000074,Crime Chronicles 74,TV Show,France,French,2008,G,Crime,53,1,6,Warner,Sunrise,Exclusive,2028-02-02,84,72,13850510,53,9792774,Europe,"family, friendship, mystery",Oscar Winner,,2025-10-26,A crime tv show produced in France.
CNT-000075,Sci-Fi Chronicles 75,TV Show,India,Hindi,1997,PG,Sci-Fi,45,3,33,Sony,North Star,Exclusive,2025-06-09,77,90,10108117,83,3751476,Europe,"friendship, survival, mystery",Oscar Winner,Family Picks,2023-08-11,A sci-fi tv show produced in India.
CNT-000076,Sci-Fi Legacy 76,Movie,United States,English,2006,TV-G,Sci-Fi,128,,,Netflix Studios,Sunrise,Licensed,2029-01-26,58,58,17754447,95,13775066,LATAM,"love, sports, friendship",BAFTA,New Releases,2024-02-13,A sci-fi movie produced in United States.
CNT-000077,Action Legacy 77,Movie,United States,English,2025,TV-14,Action,180,,,Toei,VisionWorks,Exclusive,2031-05-16,73,84,15415401,56,13676003,Europe,"love, sports, mystery",Emmy Winner,,2026-06-24,A action movie produced in United States.
CNT-000078,Documentary Legacy 78,Movie,Germany,German,1995,R,Documentary,174,,,CJ ENM,Global Media,Original,2028-07-19,92,79,18478537,51,7778899,North America,"mystery, crime, love",Oscar Winner,New Releases,2023-08-06,A documentary movie produced in Germany.
CNT-000079,Comedy Legacy 79,Movie,United Kingdom,English,1996,TV-PG,Comedy,141,,,Netflix Studios,VisionWorks,Original,2029-09-13,97,82,9929837,45,4911973,APAC,"space, survival, love",None,,2025-05-14,A comedy movie produced in United Kingdom.
CNT-000080,Fantasy Chronicles 80,TV Show,Japan,Japanese,2026,G,Fantasy,55,5,45,Warner,Blue Sky,Original,2028-01-26,75,94,447322,66,13526689,North America,"family, history, space",Festival Selection,Award Winners,2023-11-08,A fantasy tv show produced in Japan.
CNT-000081,Comedy Chronicles 81,TV Show,Spain,Spanish,1999,G,Comedy,45,2,18,Disney,Sunrise,Exclusive,2026-11-21,58,82,12086941,79,1346982,North America,"sports, mystery, friendship",BAFTA,,2023-03-25,A comedy tv show produced in Spain.
CNT-000082,Drama Chronicles 82,TV Show,United States,English,2002,TV-PG,Drama,54,1,8,Warner,VisionWorks,Original,2030-05-04,64,98,17376741,57,10569683,Europe,"space, love, history",BAFTA,Trending Now,2025-09-12,A drama tv show produced in United States.
CNT-000083,Crime Legacy 83,Movie,United States,English,1990,TV-14,Crime,106,,,CJ ENM,North Star,Exclusive,2026-03-03,80,64,4622110,74,9353167,Global,"friendship, sports, mystery",BAFTA,Hidden Gems,2024-10-26,A crime movie produced in United States.
CNT-000084,Comedy Legacy 84,Movie,France,French,1996,PG,Comedy,103,,,A24,Sunrise,Original,2026-07-23,75,62,4832140,93,2893765,North America,"sports, survival, family",Festival Selection,Award Winners,2023-08-26,A comedy movie produced in France.
CNT-000085,Drama Chronicles 85,TV Show,South Africa,English,1992,TV-PG,Drama,43,7,70,Sony,Red Oak,Original,2029-07-07,93,58,13709837,56,11181076,Europe,"survival, love, sports",Festival Selection,,2026-07-09,A drama tv show produced in South Africa.
CNT-000086,Romance Chronicles 86,TV Show,Germany,German,2011,TV-G,Romance,27,5,60,Sony,Red Oak,Original,2027-12-17,61,81,8414012,88,11874537,Global,"survival, family, mystery",BAFTA,Hidden Gems,2024-11-01,A romance tv show produced in Germany.
CNT-000087,Crime Legacy 87,Movie,United States,English,2001,TV-14,Crime,80,,,BBC,Global Media,Exclusive,2025-08-12,60,77,15588879,82,14764756,North America,"mystery, love, survival",Emmy Winner,New Releases,2023-09-08,A crime movie produced in United States.
CNT-000088,Fantasy Legacy 88,Movie,United States,English,2018,TV-14,Fantasy,152,,,Canal+,Red Oak,Exclusive,2026-02-25,60,61,8758885,61,1618819,Europe,"survival, love, friendship",Emmy Winner,,2023-03-10,A fantasy movie produced in United States.
CNT-000089,Drama Legacy 89,Movie,India,Hindi,2005,PG,Drama,83,,,Netflix Studios,Global Media,Licensed,2027-08-31,91,86,3796766,46,13376531,APAC,"friendship, crime, family",Oscar Winner,,2024-11-26,A drama movie produced in India.
CNT-000090,Fantasy Legacy 90,Movie,France,French,2011,G,Fantasy,164,,,Warner,Blue Sky,Original,2026-07-17,74,81,4427820,61,9797130,LATAM,"history, survival, family",BAFTA,Hidden Gems,2025-05-21,A fantasy movie produced in France.
CNT-000091,Drama Legacy 91,Movie,United States,English,2009,TV-G,Drama,141,,,BBC,Red Oak,Exclusive,2028-04-02,66,75,4711794,59,11284653,Europe,"mystery, survival, sports",Emmy Winner,Family Picks,2025-06-03,A drama movie produced in United States.
CNT-000092,Crime Legacy 92,Movie,Spain,Spanish,1997,TV-14,Crime,128,,,CJ ENM,North Star,Licensed,2030-04-02,86,71,13185145,71,14295284,Europe,"family, crime, history",Festival Selection,New Releases,2025-05-28,A crime movie produced in Spain.
CNT-000093,Drama Legacy 93,Movie,United States,English,2006,PG,Drama,173,,,Canal+,North Star,Licensed,2028-01-11,60,48,16423240,92,8148168,Global,"sports, crime, history",Oscar Winner,Family Picks,2023-10-16,A drama movie produced in United States.
CNT-000094,Thriller Chronicles 94,TV Show,Japan,Japanese,2022,TV-PG,Thriller,30,5,30,Toei,VisionWorks,Licensed,2030-01-02,82,48,5551954,82,9724032,North America,"sports, friendship, space",Emmy Winner,Award Winners,2025-05-28,A thriller tv show produced in Japan.
CNT-000095,Action Chronicles 95,TV Show,Japan,Japanese,2004,TV-G,Action,34,3,21,Toei,Blue Sky,Licensed,2030-01-23,98,75,8843834,92,5030800,APAC,"family, space, sports",Oscar Winner,Family Picks,2026-02-01,A action tv show produced in Japan.
CNT-000096,Documentary Chronicles 96,TV Show,Japan,Japanese,2014,R,Documentary,23,8,88,TV Tokyo,Red Oak,Original,2028-05-21,77,60,3443661,79,1428372,Global,"friendship, history, family",Emmy Winner,Family Picks,2025-01-10,A documentary tv show produced in Japan.
CNT-000097,Documentary Chronicles 97,TV Show,United States,English,2025,TV-G,Documentary,34,3,33,Toei,Sunrise,Exclusive,2026-07-06,84,72,15020206,55,10844597,Europe,"love, friendship, history",Emmy Winner,Trending Now,2023-06-12,A documentary tv show produced in United States.
CNT-000098,Action Legacy 98,Movie,Japan,Japanese,1990,PG,Action,134,,,Sony,Sunrise,Exclusive,2028-12-23,74,51,10460029,63,10612343,APAC,"history, mystery, love",BAFTA,Trending Now,2024-08-28,A action movie produced in Japan.
CNT-000099,Comedy Chronicles 99,TV Show,South Korea,Korean,2001,TV-PG,Comedy,59,4,32,CJ ENM,Blue Sky,Exclusive,2026-06-29,78,74,12858858,65,6847533,LATAM,"love, survival, history",Festival Selection,Family Picks,2023-01-09,A comedy tv show produced in South Korea.
CNT-000100,Drama Chronicles 100,TV Show,United States,English,2019,TV-G,Drama,42,4,32,Sony,North Star,Licensed,2029-11-10,63,91,3154183,79,6398156,LATAM,"mystery, family, friendship",Oscar Winner,Family Picks,2025-02-18,A drama tv show produced in United States.
CNT-000101,Thriller Legacy 101,Movie,Canada,English,2024,TV-G,Thriller,132,,,TV Tokyo,VisionWorks,Licensed,2026-09-21,61,86,5928112,70,8080745,LATAM,"sports, friendship, survival",Oscar Winner,Family Picks,2024-11-07,A thriller movie produced in Canada.
CNT-000102,Reality Chronicles 102,TV Show,United States,English,2013,TV-14,Reality,43,6,42,Disney,Sunrise,Exclusive,2026-08-14,71,67,9698203,61,2611527,LATAM,"crime, history, friendship",BAFTA,New Releases,2025-07-01,A reality tv show produced in United States.
CNT-000103,Family Legacy 103,Movie,Mexico,Spanish,2004,TV-MA,Family,155,,,CJ ENM,Global Media,Exclusive,2025-10-23,56,51,5177916,50,13812824,Europe,"space, survival, friendship",Oscar Winner,New Releases,2024-02-27,A family movie produced in Mexico.
CNT-000104,Sci-Fi Legacy 104,Movie,United States,English,2021,TV-G,Sci-Fi,155,,,TV Tokyo,Red Oak,Licensed,2027-11-10,67,98,5252488,63,8905000,LATAM,"survival, space, friendship",Emmy Winner,Trending Now,2026-05-27,A sci-fi movie produced in United States.
CNT-000105,Action Legacy 105,Movie,United States,English,1998,PG-13,Action,160,,,Warner,Blue Sky,Licensed,2028-10-23,97,85,11621181,93,14840385,LATAM,"survival, space, sports",Oscar Winner,,2023-12-31,A action movie produced in United States.
CNT-000106,Crime Chronicles 106,TV Show,United States,English,2006,G,Crime,26,3,36,Disney,Red Oak,Original,2026-03-29,99,59,4946375,64,3849962,LATAM,"space, love, history",Festival Selection,,2024-03-11,A crime tv show produced in United States.
